# energy_eV sigma_m2
5.57330000e+01 2.60880000e-20
6.02060000e+01 2.66290000e-20
6.43050000e+01 2.72030000e-20
7.06710000e+01 2.77670000e-20
7.89540000e+01 2.83580000e-20
1.26320000e+02 2.77840000e-20
1.42850000e+02 2.71580000e-20
1.54400000e+02 2.65360000e-20
1.64380000e+02 2.59810000e-20
1.75080000e+02 2.54460000e-20
1.86550000e+02 2.47740000e-20
1.95690000e+02 2.41800000e-20
2.05310000e+02 2.36670000e-20
2.18930000e+02 2.30670000e-20
2.29790000e+02 2.25890000e-20
2.41220000e+02 2.20860000e-20
2.53270000e+02 2.15690000e-20
2.65950000e+02 2.10620000e-20
2.79300000e+02 2.05280000e-20
2.93370000e+02 1.99650000e-20
3.08190000e+02 1.94220000e-20
3.23790000e+02 1.88910000e-20
3.40220000e+02 1.83320000e-20
3.51660000e+02 1.79570000e-20
3.69570000e+02 1.74910000e-20
3.88440000e+02 1.70010000e-20
4.01570000e+02 1.66590000e-20
4.15170000e+02 1.63060000e-20
4.29240000e+02 1.59400000e-20
4.43800000e+02 1.55610000e-20
4.58880000e+02 1.52220000e-20
4.74490000e+02 1.49100000e-20
4.90640000e+02 1.45870000e-20
5.24680000e+02 1.40050000e-20
5.61150000e+02 1.34220000e-20
6.00220000e+02 1.27970000e-20
6.42100000e+02 1.22530000e-20
6.86960000e+02 1.16690000e-20
7.35040000e+02 1.11150000e-20
7.86550000e+02 1.05480000e-20
8.41750000e+02 1.01120000e-20
9.00890000e+02 9.70350000e-21
9.64270000e+02 9.24080000e-21
