# energy_eV sigma_m2
3.59400000e+01 5.18080000e-20
3.65840000e+01 5.06490000e-20
3.72380000e+01 4.94710000e-20
3.79050000e+01 4.82720000e-20
3.85820000e+01 4.70520000e-20
3.92720000e+01 4.58110000e-20
3.99730000e+01 4.45480000e-20
4.14130000e+01 4.31580000e-20
4.29040000e+01 4.17420000e-20
4.44460000e+01 4.02760000e-20
4.60440000e+01 3.87590000e-20
4.68630000e+01 3.79800000e-20
4.76970000e+01 3.71880000e-20
4.85450000e+01 3.63820000e-20
4.94080000e+01 3.55620000e-20
5.02860000e+01 3.48000000e-20
5.20880000e+01 3.35380000e-20
5.39540000e+01 3.22320000e-20
5.49110000e+01 3.15620000e-20
5.58850000e+01 3.08800000e-20
5.68760000e+01 3.01870000e-20
5.78840000e+01 2.94810000e-20
5.89100000e+01 2.87630000e-20
5.99540000e+01 2.80320000e-20
6.10150000e+01 2.74410000e-20
6.20960000e+01 2.68470000e-20
6.31950000e+01 2.62430000e-20
6.43130000e+01 2.56280000e-20
6.54510000e+01 2.50020000e-20
6.66080000e+01 2.43650000e-20
6.77860000e+01 2.37180000e-20
6.89840000e+01 2.30590000e-20
7.02030000e+01 2.24490000e-20
7.27060000e+01 2.18240000e-20
7.52960000e+01 2.11760000e-20
7.79770000e+01 2.05060000e-20
8.07520000e+01 1.97740000e-20
8.21760000e+01 1.93470000e-20
8.36250000e+01 1.89120000e-20
8.50990000e+01 1.84700000e-20
8.65990000e+01 1.80200000e-20
8.81250000e+01 1.75620000e-20
8.96780000e+01 1.70970000e-20
9.12570000e+01 1.67490000e-20
9.44990000e+01 1.61000000e-20
9.61630000e+01 1.57670000e-20
9.78550000e+01 1.54290000e-20
9.95770000e+01 1.50850000e-20
1.03110000e+02 1.46510000e-20
1.06770000e+02 1.42420000e-20
1.10560000e+02 1.38180000e-20
1.14480000e+02 1.33780000e-20
1.18540000e+02 1.29240000e-20
1.22740000e+02 1.24530000e-20
1.27090000e+02 1.20160000e-20
1.31590000e+02 1.16200000e-20
1.36250000e+02 1.12100000e-20
1.41070000e+02 1.07860000e-20
1.43540000e+02 1.05680000e-20
1.46060000e+02 1.03470000e-20
1.48620000e+02 1.01210000e-20
1.53880000e+02 9.82920000e-21
1.59320000e+02 9.58970000e-21
1.64960000e+02 9.34180000e-21
1.70790000e+02 9.08520000e-21
1.76830000e+02 8.81960000e-21
1.83080000e+02 8.54460000e-21
1.89550000e+02 8.26000000e-21
1.96240000e+02 7.96530000e-21
2.03170000e+02 7.71110000e-21
2.10350000e+02 7.51020000e-21
2.17780000e+02 7.30230000e-21
2.25460000e+02 7.08700000e-21
2.33420000e+02 6.86420000e-21
2.41660000e+02 6.63350000e-21
2.54560000e+02 6.31780000e-21
2.68150000e+02 6.07320000e-21
2.82470000e+02 5.81560000e-21
2.97540000e+02 5.54430000e-21
3.13410000e+02 5.31220000e-21
3.30130000e+02 5.07820000e-21
3.47740000e+02 4.83170000e-21
3.66280000e+02 4.63720000e-21
3.85810000e+02 4.44190000e-21
4.06380000e+02 4.25210000e-21
4.35520000e+02 4.03360000e-21
4.58730000e+02 3.85950000e-21
4.83170000e+02 3.67620000e-21
5.08920000e+02 3.50100000e-21
5.36030000e+02 3.35180000e-21
5.64590000e+02 3.19480000e-21
5.94660000e+02 3.02940000e-21
6.26340000e+02 2.89470000e-21
6.59690000e+02 2.76120000e-21
6.94820000e+02 2.62070000e-21
7.31820000e+02 2.47270000e-21
7.57580000e+02 2.36970000e-21
7.84240000e+02 2.26310000e-21
8.11830000e+02 2.16450000e-21
8.40400000e+02 2.07880000e-21
8.69960000e+02 1.99010000e-21
9.00570000e+02 1.89830000e-21
9.32250000e+02 1.80320000e-21
9.65050000e+02 1.70480000e-21
