# energy_eV sigma_m2
1.28930000e+01 8.54137753e-22
1.28980000e+01 8.55531689e-22
1.29080000e+01 8.75221898e-22
1.29150000e+01 8.87294514e-22
1.29190000e+01 8.93249917e-22
1.29240000e+01 8.95559821e-22
1.29290000e+01 8.89010495e-22
1.29360000e+01 8.74678740e-22
1.29420000e+01 8.61965041e-22
1.29550000e+01 8.29629085e-22
1.29600000e+01 8.21250422e-22
1.29610000e+01 8.20127373e-22
1.29660000e+01 8.23377280e-22
1.29750000e+01 8.32766326e-22
1.29790000e+01 8.38034849e-22
1.29950000e+01 8.61529543e-22
1.29970000e+01 8.67788971e-22
1.30030000e+01 8.94637622e-22
1.30140000e+01 1.01529811e-21
1.30160000e+01 1.04082748e-21
1.30350000e+01 1.27435240e-21
1.30370000e+01 1.29700706e-21
1.30410000e+01 1.33652767e-21
1.30450000e+01 1.37109843e-21
1.30540000e+01 1.34185028e-21
1.30550000e+01 1.33742840e-21
1.30750000e+01 1.14150808e-21
1.30770000e+01 1.13322882e-21
1.30790000e+01 1.12519154e-21
1.30800000e+01 1.11867466e-21
1.30890000e+01 1.04903088e-21
1.30930000e+01 1.01573829e-21
1.30940000e+01 1.00756699e-21
1.30960000e+01 9.91043580e-22
1.31110000e+01 8.92371889e-22
1.31120000e+01 8.86480651e-22
1.31160000e+01 8.63321692e-22
1.31190000e+01 8.46156893e-22
1.31210000e+01 8.36474527e-22
1.31290000e+01 8.14678282e-22
1.31300000e+01 8.12144563e-22
1.31330000e+01 8.04743494e-22
1.31360000e+01 8.04663010e-22
1.31370000e+01 8.04897011e-22
1.31480000e+01 8.20935077e-22
1.31540000e+01 8.33982413e-22
1.31590000e+01 8.48007682e-22
1.31650000e+01 8.67426447e-22
1.31660000e+01 8.71300932e-22
1.31670000e+01 8.75210539e-22
1.31700000e+01 8.87234789e-22
1.31730000e+01 8.99598059e-22
1.31780000e+01 9.21184343e-22
1.31810000e+01 9.35431320e-22
1.31850000e+01 9.46611585e-22
1.31880000e+01 9.55348798e-22
1.31890000e+01 9.58340374e-22
1.31990000e+01 9.88956611e-22
1.32030000e+01 9.96270779e-22
1.32040000e+01 9.88051575e-22
1.32060000e+01 9.73687681e-22
1.32070000e+01 9.67457254e-22
1.32090000e+01 9.56655247e-22
1.32200000e+01 9.09659882e-22
1.32230000e+01 8.95569076e-22
1.32240000e+01 8.91260837e-22
1.32250000e+01 8.88107402e-22
1.32410000e+01 8.59715887e-22
1.32430000e+01 8.53867966e-22
1.32440000e+01 8.50993689e-22
1.32480000e+01 8.39805077e-22
1.32540000e+01 8.28812846e-22
1.32620000e+01 8.19308500e-22
1.32630000e+01 8.18247933e-22
1.32640000e+01 8.17214147e-22
1.32650000e+01 8.16228874e-22
1.32710000e+01 8.11035335e-22
1.32720000e+01 8.10013205e-22
1.32740000e+01 8.05932989e-22
1.32810000e+01 7.92097396e-22
1.32830000e+01 7.88258726e-22
1.32840000e+01 7.87002102e-22
1.32850000e+01 7.85735957e-22
1.32900000e+01 7.79586488e-22
1.32950000e+01 7.73657337e-22
1.33000000e+01 7.69236306e-22
1.33010000e+01 7.68431927e-22
1.33030000e+01 7.66862705e-22
1.33040000e+01 7.66082720e-22
1.33060000e+01 7.64537043e-22
1.33080000e+01 7.63012454e-22
1.33180000e+01 7.54658215e-22
1.33190000e+01 7.54090297e-22
1.33200000e+01 7.53484023e-22
1.33210000e+01 7.52879274e-22
1.33250000e+01 7.50544928e-22
1.33260000e+01 7.50345202e-22
1.33280000e+01 7.49962085e-22
1.33290000e+01 7.49809222e-22
1.33360000e+01 7.48843312e-22
1.33370000e+01 7.48738953e-22
1.33400000e+01 7.48460555e-22
1.33420000e+01 7.48330382e-22
1.33440000e+01 7.48265486e-22
1.33450000e+01 7.48262214e-22
1.33470000e+01 7.48144080e-22
1.33500000e+01 7.48673978e-22
1.33530000e+01 7.49260644e-22
1.33550000e+01 7.50321716e-22
1.33610000e+01 7.53506109e-22
1.33620000e+01 7.54047339e-22
1.33630000e+01 7.54589111e-22
1.33660000e+01 7.56172489e-22
1.33690000e+01 7.57607754e-22
1.33720000e+01 7.60904288e-22
1.33730000e+01 7.62006339e-22
1.33740000e+01 7.63105302e-22
1.33810000e+01 7.70856862e-22
1.33820000e+01 7.71959497e-22
1.33830000e+01 7.73062951e-22
1.33910000e+01 7.81969406e-22
1.33920000e+01 7.83093138e-22
1.33940000e+01 7.85329639e-22
1.33950000e+01 7.86495082e-22
1.33990000e+01 7.91191284e-22
1.34000000e+01 7.92375823e-22
1.34010000e+01 7.93557400e-22
1.34020000e+01 7.94739372e-22
1.34050000e+01 7.98285629e-22
